연번,구분,시설명,주소,흡연실여부
1,공공기관청사,부산광역시시청,연제구 중앙대로 1001(연산동),Y
2,공공기관청사,부산광역시의회,연제구 중앙대로 1001(연산동),Y
3,공공기관청사,연제구청,연제구 연제로 2(연산동),Y
4,공공기관청사,연제구보건소,연제구 연제로 2(연산동),Y
5,공공기관청사,연제구의회,연제구 연제로 2(연산동),Y
6,공공기관청사,부산지방검찰청,연제구 법원로 15,Y
7,공공기관청사,부산고등검찰청,연제구 법원로 15,Y
8,공공기관청사,부산지방법원,연제구 법원로 31(거제동 1500),Y
9,공공기관청사,부산고등법원,연제구 법원로 31(거제동 1500),Y
10,공공기관청사,부산지방경찰청,연제구 중앙대로 999,Y
11,공공기관청사,연제경찰서,연제구 토곡로 26 (연산9동 243-11),Y
12,종합병원,부산광역시의료원,"연제구 월드컵대로 359 (거제동, 1동, 5동일부)",Y
13,대형건축물,샤르망라이프,연제구 반송로 33,Y
14,대형건축물,삼호라이프레포츠텔,연제구 과정로 137,Y
15,대형건축물,동주빌딩,연제구 반송로 20,Y
16,당구장업,스마트당구장,연제구 거제천로87번길 29 (거제동),Y
17,당구장업,유명당구장,연제구 반송로 13-7 (연산동),Y
18,당구장업,빌텍당구클럽,연제구 쌍미천로161번길 35 (연산동),Y
19,당구장업,둘리당구장,연제구 반송로 9 (연산동),Y
20,당구장업,토곡당구장,연제구 과정로 191 (연산동),Y
21,당구장업,한창당구클럽,연제구 쌍미천로161번길 30 (연산동),Y
22,당구장업,하이큐당구클럽,연제구 고분로13번길 81 (연산동),Y
23,당구장업,락당구클럽,연제구 고분로 5-2 (연산동),Y
24,당구장업,성원당구클럽,연제구 반송로 9-1 (연산동),Y
25,당구장업,B.K당구클럽,연제구 중앙대로 1133 (연산동),Y
26,당구장업,KNN당구장,"연제구 고분로13번길 25, 3층 302호 (연산동)",Y
27,당구장업,제일당구장,연제구 연수로 144-1 (연산동),Y
28,당구장업,월드당구클럽,연제구 과정로237번길 115 (연산동),Y
29,당구장업,찬스당구장,연제구 과정로 139 (연산동),Y
30,당구장업,현당구장,연제구 거제천로 89 (거제동),Y
31,당구장업,프라임당구클럽,연제구 월드컵대로 153 (연산동),Y
32,당구장업,한양당구장,연제구 연안로 19 (연산동),Y
33,당구장업,하프당구클럽,연제구 거제천로 96-1 (연산동),Y
34,당구장업,헐리우드당구장,연제구 고분로32번길 23 (연산동),Y
35,당구장업,천당구클럽,연제구 과정로 111 (연산동),Y
36,당구장업,YES당구장,연제구 아시아드대로 52 (거제동),Y
37,당구장업,키스당구클럽,연제구 진남로 621 (연산동),Y
38,당구장업,레오당구클럽,연제구 월드컵대로 117 (연산동),Y
39,당구장업,법조당구클럽,연제구 법원남로16번길 21 (거제동),Y
40,당구장업,조은당구클럽,연제구 거제천로 183 (거제동),Y
41,당구장업,한결당구장,연제구 세병로 6 (연산동),Y
42,당구장업,무스탕당구장,연제구 중앙대로 1116-8 (연산동),Y
43,당구장업,솔로몬당구클럽,연제구 월드컵대로153번길 18 (연산동),Y
44,당구장업,OK당구장,연제구 과정로 282-1 (연산동),Y
45,당구장업,알마니당구클럽,연제구 월드컵대로 163 (연산동),Y
46,당구장업,킹당구장,연제구 중앙대로 1116-4 (연산동),Y
47,당구장업,VIP당구클럽,연제구 고분로 234-1 (연산동),Y
48,당구장업,OK당구클럽,"연제구 월드컵대로 148, 8층 (연산동)",Y
49,당구장업,BK당구클럽,연제구 과정로 207 (연산동),Y
50,당구장업,맨,연제구 금련로 2 (연산동),Y
51,당구장업,목림당구장,연제구 중앙대로1043번길 50 (연산동),Y
52,당구장업,삼성당구클럽,연제구 좌수영로 314 (연산동),Y
53,당구장업,포인트3.0당구클럽,"연제구 중앙대로1120번길 13-8 (연산동, 연산상가빌딩)",Y
54,당구장업,OK당구장,연제구 고분로13번길 43 (연산동),Y
55,당구장업,국제당구장,연제구 중앙대로1219번길 4 (거제동),Y
56,당구장업,쌀당구클럽,연제구 중앙대로 지하 1116-5 (연산동),Y
57,당구장업,스카이당구장,"연제구 법원남로16번길 24 (거제동, 남도빌딩)",Y
58,당구장업,큐당구클럽,연제구 아시아드대로 52 (거제동),Y
59,당구장업,힐링TIME당구클럽,"연제구 법원로32번길 9 (거제동, 고려빌딩)",Y
60,당구장업,캡틴당구장,연제구 과정로 273 (연산동),Y
61,당구장업,킹스타당구장,연제구 고분로13번길 48 (연산동),Y
62,게임제공업소,미래PC방,연제구 과정로 224 (연산동),Y
63,게임제공업소,SKY PC방,연제구 과정로 144 (연산동),Y
64,게임제공업소,위드 PC방,"연제구 거제대로 160 (거제동, 동광)",Y
65,게임제공업소,플러스PC존,연제구 과정로 103 (연산동),Y
66,게임제공업소,아일랜드PC,연제구 거제천로87번길 20 (거제동),Y
67,게임제공업소,사이버리아 PC방 연산3동점,연제구 연수로 224 (연산동),Y
68,게임제공업소,K-1 PC,"연제구 고분로13번길 42, 4층 (연산동)",Y
69,게임제공업소,놀부 PC,연제구 중앙대로1038번길 49 (연산동),Y
70,게임제공업소,엔터존 PC,연제구 중앙대로1150번길 25 (연산동),Y
71,게임제공업소,유토피아PC방,연제구 중앙대로1120번길 13-8 (연산동),Y
72,게임제공업소,Rangche PC 카페 경상대점,연제구 과정로 273 (연산동),Y
73,게임제공업소,옥스PC 종합운동장역점,"연제구 아시아드대로 80, 4층 (거제동)",Y
74,게임제공업소,더게임PC방,연제구 아시아드대로 38 (거제동),Y
75,게임제공업소,오즈PC방,연제구 거제천로 96-1 (연산동),Y
76,게임제공업소,톡PC방,연제구 과정로 282-1 (연산동),Y
77,게임제공업소,더락피씨까페,연제구 연수로 217 (연산동),Y
78,게임제공업소,비타민PC방,연제구 과정로 105 (연산동),Y
79,게임제공업소,가파치PC방,"연제구 거제천로 154, 2층 (연산동)",Y
80,게임제공업소,프렌즈 PC,"연제구 명륜로 14, 지하101호 (거제동)",Y
81,게임제공업소,이-네이쳐PC방 연산자이점,"연제구 과정로 322, B1층 (연산동)",Y
82,게임제공업소,싸지방PC 2호점,연제구 연수로148번길 4 (연산동),Y
83,게임제공업소,더락PC카페(거제리점),"연제구 해맞이로67번길 7, 지하1층 (거제동)",Y
84,게임제공업소,미라클 PC,연제구 연안로 19 (연산동),Y
85,게임제공업소,렙업 PC ZONE,연제구 신촌로 21 (연산동),Y
86,게임제공업소,네오PC카페 연일점,연제구 고분로 21-0 (연산동),Y
87,게임제공업소,PC cafe CHIC,연제구 고분로 9-1 (연산동),Y
88,게임제공업소,랑체PC방,연제구 월드컵대로111번길 10 (연산동),Y
89,게임제공업소,더락PC클럽,"연제구 고분로13번길 25, 3층 303호 (연산동)",Y
90,게임제공업소,더락 PC CAFE 시청점,"연제구 거제천로 89, 2층 (거제동)",Y
91,게임제공업소,팔로잉PC,"연제구 연수로 138, 2층 (연산동)",Y
92,게임제공업소,아이센스 PC방,"연제구 과정로 133, 4층 (연산동)",Y
93,게임제공업소,ARES PC CAFE,"연제구 세병로 84, 지하1층 (거제동)",Y
94,게임제공업소,THE LAVA PC방,"연제구 거제천로 94, 4층 (연산동, 인재빌딩)",Y
95,게임제공업소,Ares PC Cafe,"연제구 안연로23번길 19, 3층 (연산동)",Y
96,게임제공업소,코델리아PC방 연산본점,"연제구 고분로236번길 10, 2층 (연산동)",Y
97,게임제공업소,허니PC방,연제구 중앙대로1120번길 13-9 (연산동),Y
98,게임제공업소,코파PC방,"연제구 중앙대로1124번길 15, 1층 304호 (연산동, 연산동 에스케이뷰)",Y
99,게임제공업소,바닐라PC방,연제구 중앙대로1050번길 28 (연산동),Y
100,게임제공업소,런던PC방,연제구 금련로 9 (연산동),Y
101,게임제공업소,옥스PC방 연산점,"연제구 반송로 19, 4층 (연산동)",Y
102,게임제공업소,피에스타PC방 부산연산본점,"연제구 과정로 137, 3층 312호 (연산동)",Y
103,게임제공업소,스틸시리즈PC방 부산본점,"연제구 과정로 192, 3층 (연산동)",Y
104,게임제공업소,바닐라PC방,"연제구 월드컵대로91번길 14, 1층 (연산동)",Y
105,게임제공업소,샹떼PC방 부산연산점,"연제구 쌍미천로 11, 2층 (연산동)",Y
